country,country3,HDIrank,HDIindex,HDI_cat,SPI,happiness,genderequality_index,birth_MF,sixty_MF,GDP_USD_2018,hoursworked,incomeineq,infantmort,oophcspend,tertiaryed
United Arab Emirates,ARE,34,0.8621799163987712,Very high,74.58,6.8309502601623535,0.63902755864599903,77.2,20.2,357045e6,NA,NA,NA,NA,NA
United Kingdom,GBR,14,0.9202139670337001,Very high,88.47,6.824283599853516,0.75213460061049597,81.4,24.2,265085e7,1670,0.36,3.8,629.55,45.766762
United States,USA,13,0.9223928743957234,Very high,86.4,6.803599834442139,0.72199234770923904,78.5,23.3,186245e8,1781,0.39,NA,1090.077,45.666355
Uruguay,URY,55,0.8021411935198802,Very high,80.12,6.171485424041748,0.68050533479500697,77.1,22.3,52687612262,NA,NA,NA,NA,NA
Uzbekistan,UZB,105,0.7029659149210646,High,56.36,5.892539024353027,NA,72.3,18.4,67067565989,NA,NA,NA,NA,NA
Vanuatu,VUT,138,0.6004620893621876,Medium,NA,NA,NA,72,18.2,787942567.4,NA,NA,NA,NA,NA
Venezuela,VEN,78,0.7658619059064578,High,NA,4.041114807128906,0.69370708355654298,74.1,21.6,NA,NA,NA,NA,NA,NA
Vietnam,VNM,116,0.6886465208928686,Medium,NA,5.062267303466797,0.70044414223939,76.3,22.7,205276e6,NA,NA,NA,NA,NA
Yemen,YEM,178,0.46158712994690765,Low,38.22,3.8256309032440186,0.51621665018640395,65.3,16.4,18213328571,NA,NA,NA,NA,NA
Zambia,ZMB,144,0.585757047631983,Medium,NA,4.347543716430664,NA,62.3,17.5,20954754378,NA,NA,NA,NA,NA
Zimbabwe,ZWE,156,0.5319951308483715,Low,42.59,3.7354001998901367,0.71028608081204703,61.4,17.5,16619960400,NA,NA,NA,NA,NA
